Date,Open,High,Low,Close,Adj_Close,Volume,day
2023-03-10,83.699997,84.879997,82.150002,82.629997,80.468735,28312400,104
2023-03-13,80.519997,82.400002,79.110001,80.949997,78.832664,41663500,105
2023-03-14,80.940002,83.57,80.309998,81.75,79.611748,30533200,106
2023-03-15,78.75,79.349998,76.239998,77.360001,75.336578,57673500,107
2023-03-16,75.660004,78.400002,75.360001,78.199997,76.154594,44395200,108
2023-03-17,77.75,78.400002,76.339996,76.970001,74.956772,33675800,109
2023-03-20,76.099998,78.199997,76.099998,77.699997,76.457382,26144400,110
2023-03-21,79.300003,80.639999,79.059998,80.389999,79.104362,29856200,111
2023-03-22,80.440002,80.809998,78.620003,78.68,77.421715,24604700,112
2023-03-23,79.110001,79.800003,76.839996,77.589996,76.349144,24743100,113
2023-03-24,76.050003,78.190002,75.809998,77.889999,76.644348,20649000,114
2023-03-27,78.709999,80,78.080002,79.550003,78.277802,20111900,115
2023-03-28,79.099998,81.129997,79.07,80.779999,79.488129,16298400,116
2023-03-29,81.580002,81.989998,81.050003,81.900002,80.590218,18102300,117
2023-03-30,82.580002,82.699997,81.779999,82.260002,80.944458,13730400,118
2023-03-31,82.470001,82.970001,82.169998,82.830002,81.505348,16147300,119
2023-04-03,86.32,87.139999,85.870003,86.580002,85.195374,31226100,120
2023-04-04,86.839996,86.949997,84.25,85.010002,83.650482,24681500,121
2023-04-05,85.220001,86.290001,84.510002,86.290001,84.910011,20276100,122
2023-04-06,86.160004,86.25,84.809998,84.980003,83.620964,16689300,123
2023-04-10,85.300003,86.639999,85.300003,85.660004,84.290085,13488600,124
2023-04-11,86.139999,87.010002,85.650002,86.470001,85.087135,12787600,125
2023-04-12,87.07,87.25,86.269997,86.529999,85.146172,16667200,126
2023-04-13,86.400002,87.290001,86.190002,87.07,85.677536,15692300,127
2023-04-14,87.190002,87.739998,86.720001,87.230003,85.834976,11780100,128
2023-04-17,86.940002,87.300003,85.900002,86.199997,84.821449,11881000,129
2023-04-18,86,86.760002,85.57,86.540001,85.156013,12246800,130
2023-04-19,85.760002,86.309998,85.290001,86.239998,84.860802,17123100,131
2023-04-20,85.040001,85.5,84.440002,85.480003,84.112968,15198100,132
2023-04-21,85.790001,85.830002,84.599998,84.980003,83.620964,16878800,133
2023-04-24,84.709999,86.68,84.68,86.279999,84.900169,12625900,134
2023-04-25,85.440002,85.589996,84.160004,84.660004,83.306084,15332600,135
2023-04-26,84.059998,84.839996,83.019997,83.529999,82.194153,20035000,136
2023-04-27,83.480003,84.040001,82.690002,83.830002,82.489349,17057300,137
2023-04-28,83.529999,85.589996,83.239998,85.129997,83.768562,19110900,138
2023-05-01,84.059998,85.080002,83.720001,84.169998,82.823914,13910700,139
2023-05-02,83.160004,83.290001,79.739998,80.510002,79.22245,33824000,140
2023-05-03,79.480003,80.410004,78.959999,78.989998,77.726753,29683800,141
2023-05-04,79.019997,79.82,77.870003,78.110001,76.860825,26430500,142
2023-05-05,80.269997,80.860001,79.790001,80.230003,78.946922,19533600,143
2023-05-08,81.400002,81.75,80.220001,80.230003,78.946922,16355900,144
2023-05-09,79.599998,81.019997,79.43,80.260002,78.976448,20710600,145
2023-05-10,80.660004,80.82,78.75,79.349998,78.080994,18026000,146
2023-05-11,78.230003,78.809998,77.800003,78.400002,77.146194,19084100,147
2023-05-12,78.790001,79.32,77.949997,78.519997,77.264267,18952700,148
2023-05-15,78.809998,79.370003,78.190002,78.919998,77.657867,16272300,149
2023-05-16,78.550003,78.889999,76.860001,76.980003,75.748909,22255600,150
2023-05-17,77.769997,78.879997,77.199997,78.459999,77.205231,23100300,151
2023-05-18,77.989998,79.129997,77.5,79.029999,77.766121,16577100,152
2023-05-19,79.760002,80.260002,79.190002,79.639999,78.366356,18059100,153
2023-05-22,79.339996,80.120003,79.190002,79.309998,78.041634,13471800,154
2023-05-23,80.07,81.07,79.860001,80.160004,78.878044,21401900,155
2023-05-24,80.790001,81.129997,79.830002,80.510002,79.22245,16737100,156
2023-05-25,79.349998,79.519997,78.339996,79.080002,77.815315,19125500,157
2023-05-26,79.559998,79.779999,78.360001,78.769997,77.510269,14392900,158
2023-05-30,77.400002,78.050003,77.099998,77.959999,76.713226,20165800,159
2023-05-31,76.739998,77.330002,76.330002,76.589996,75.365135,22398800,160
2023-06-01,76.769997,78.410004,76.25,77.540001,76.29995,25811800,161
2023-06-02,78.989998,80.279999,78.449997,79.900002,78.622208,27635400,162
2023-06-05,81.07,81.07,79.230003,79.370003,78.100677,18913100,163
2023-06-06,78.32,80.080002,78.239998,80.010002,78.730446,17375400,164
2023-06-07,80.400002,82.230003,80.349998,82.129997,80.816536,30327100,165
2023-06-08,82.239998,82.519997,80.419998,81.779999,80.47213,23077600,166
2023-06-09,81.739998,82.139999,81.110001,81.330002,80.029335,19193500,167
2023-06-12,80.110001,81.360001,80,80.550003,79.26181,18193500,168
2023-06-13,81.440002,82.519997,80.889999,80.93,79.635727,20068200,169
2023-06-14,81.730003,82.089996,79.5,80.099998,78.819,23802700,170
2023-06-15,80.239998,81.589996,80.220001,80.980003,79.684937,23388500,171
2023-06-16,81.279999,81.510002,80.629997,80.860001,79.566849,23721100,172
2023-06-20,79.620003,79.709999,77.769997,78.360001,77.785988,21276000,173
2023-06-21,78.040001,79.650002,77.919998,78.980003,78.401451,17236900,174
2023-06-22,78.260002,78.349998,77.629997,77.919998,77.349213,16753700,175
2023-06-23,77.080002,77.57,76.720001,77.360001,76.79332,17452600,176
2023-06-26,77.5,79.190002,77.32,78.75,78.173134,16244300,177
2023-06-27,78.669998,79.269997,78.209999,78.93,78.351814,14194200,178
2023-06-28,78.849998,79.830002,78.150002,79.730003,79.145958,16451600,179
2023-06-29,80.029999,80.650002,79.599998,80.650002,80.059219,14217900,180
2023-06-30,81.199997,81.580002,80.599998,81.169998,80.575401,17983000,181
2023-07-03,81.370003,81.970001,81.059998,81.360001,80.764015,9769900,182
2023-07-05,81.699997,81.720001,80.449997,80.910004,80.317314,16278700,183
2023-07-06,80.029999,80.589996,78.489998,79.089996,78.510635,20983900,184
2023-07-07,78.699997,81.540001,78.639999,80.790001,80.198189,24455000,185
2023-07-10,80.580002,81.580002,80.519997,81.419998,80.82357,15462500,186
2023-07-11,81.790001,83.339996,81.629997,83.209999,82.600464,19821000,187
2023-07-12,83.889999,84.449997,83.459999,83.980003,83.364822,21538800,188
2023-07-13,83.980003,84.5,82.879997,83.660004,83.047173,26613200,189
2023-07-14,83.120003,83.199997,81.25,81.449997,80.853355,21991800,190
2023-07-17,81.160004,81.639999,80.919998,81.290001,80.694527,16222900,191
2023-07-18,81.099998,82.959999,80.970001,82.110001,81.508522,21607300,192
2023-07-19,82.110001,83.150002,81.93,82.589996,81.985001,18760500,193
2023-07-20,83.269997,83.730003,82.860001,83.559998,82.947899,17724900,194
2023-07-21,83.870003,84.339996,83.330002,84.300003,83.68248,15760000,195
2023-07-24,84.730003,86.279999,84.699997,85.660004,85.032516,22269800,196
2023-07-25,85.620003,86.610001,85.099998,86.110001,85.479218,16803300,197
2023-07-26,85.400002,86.480003,85.279999,86.139999,85.508995,16394000,198
2023-07-27,86.610001,86.959999,85.349998,85.589996,84.963028,17775300,199
2023-07-28,85.529999,85.870003,84.599998,85.849998,85.221123,17313900,200
2023-07-31,86.599998,87.730003,86.349998,87.480003,86.839188,18133200,201
2023-08-01,87.129997,87.32,86.129997,87.07,86.43219,17883000,202
2023-08-02,86.480003,86.919998,85.199997,85.93,85.300537,22960000,203
2023-08-03,86.160004,87.580002,85.690002,86.800003,86.164169,20815300,204
2023-08-04,87.419998,88.239998,86.82,86.919998,86.283287,21595300,205
2023-08-07,87.410004,87.589996,86.760002,87.019997,86.382553,13410800,206
2023-08-08,85.610001,87.489998,84.970001,87.449997,86.809402,18618600,207
2023-08-09,88.300003,89.360001,87.75,88.550003,87.901352,26042800,208
2023-08-10,88.68,89.690002,87.940002,88.540001,87.891418,19613300,209
2023-08-11,88.5,90,88.480003,89.900002,89.241455,23335000,210
2023-08-14,89.650002,89.889999,88.919998,89.519997,88.864235,15094700,211
2023-08-15,88.900002,89,87.5,87.660004,87.017868,22491200,212
2023-08-16,87.75,88.699997,86.839996,86.900002,86.263435,18997700,213
2023-08-17,88.120003,89.139999,87.809998,87.940002,87.295815,20232100,214
2023-08-18,87.43,88.919998,87.150002,88.809998,88.159439,17651900,215
2023-08-21,89.169998,89.529999,87.639999,88.25,87.603546,15244200,216
2023-08-22,88.360001,88.669998,87.519997,87.57,86.92852,12869700,217
2023-08-23,86.620003,87.43,85.870003,87.349998,86.710136,19399300,218
2023-08-24,86.559998,87.669998,86.5,86.75,86.114532,16727500,219
2023-08-25,87.269997,88.029999,86.510002,87.589996,86.948372,19018400,220
2023-08-28,87.82,88.839996,87.669998,88.18,87.534058,12859100,221
2023-08-29,88.5,88.510002,87.540001,88.419998,87.772293,13509700,222
2023-08-30,88.82,89.019997,88.470001,88.860001,88.209076,13945100,223
2023-08-31,89.190002,89.339996,88.279999,88.919998,88.268631,14808700,224
2023-09-01,89.900002,90.839996,89.879997,90.739998,90.075302,17878100,225
2023-09-05,91.25,92.150002,91.160004,91.220001,90.551788,24368700,226
2023-09-06,91.040001,91.75,90.589996,91.260002,90.591499,20162100,227
2023-09-07,91.440002,91.910004,91.010002,91.169998,90.502151,15364600,228
2023-09-08,91.599998,92.709999,91.550003,92.050003,91.37571,17369500,229
2023-09-11,92.720001,93,90.470001,90.839996,90.174568,22047500,230
2023-09-12,91.82,93.080002,91.650002,92.980003,92.298897,26799700,231
2023-09-13,93.07,93.260002,91.800003,92.279999,91.604019,18157700,232
2023-09-14,93.239998,93.690002,92.959999,93.360001,92.676109,18549900,233
2023-09-15,92.5,93.410004,92.010002,92.010002,91.335999,24797800,234
2023-09-18,92.279999,92.550003,91.43,92.110001,92.110001,16873300,235
2023-09-19,92.800003,92.93,90.709999,91.25,91.25,18132200,236
2023-09-20,90.800003,91.830002,90.339996,90.400002,90.400002,17965200,237
2023-09-21,91.019997,91.230003,89.010002,89.160004,89.160004,21693700,238
2023-09-22,89.830002,90.43,89.230003,89.309998,89.309998,21033700,239
2023-09-25,89.07,90.57,89.07,90.43,90.43,17536900,240
2023-09-26,89.650002,90.449997,89.510002,89.910004,89.910004,16730000,241
2023-09-27,91.029999,92.410004,90.629997,92.150002,92.150002,23144700,242
2023-09-28,91.75,92.790001,91.540001,92.25,92.25,24231400,243
2023-09-29,92.110001,92.470001,90.050003,90.389999,90.389999,24181800,244
2023-10-02,90.269997,90.510002,87.980003,88.589996,88.589996,25299900,245
2023-10-03,88.379997,88.699997,87.660004,88.529999,88.529999,20733300,246
2023-10-04,87.209999,87.360001,84.910004,85.75,85.75,29786200,247
2023-10-05,84.519997,85.970001,84.519997,85.220001,85.220001,23518500,248
2023-10-06,85.220001,86.510002,84.260002,85.730003,85.730003,25728200,249
